company earnings,interest rate,inflation,market demand,index_price
29.43,27.36,10.66,79.85,321.01
54.35,25.02,2.52,33.81,257.26
19.11,44,7.2,38.05,223.43
38.28,14.58,19.5,57.64,301.48
53.14,29.1,12.35,25.9,276.47
93.23,46.17,1.99,75.9,471.11
92.16,17.81,17.01,34.23,382.46
19.06,14.87,17.03,38.86,206.85
35.24,48.1,13.5,24.73,271.89
21.08,15.99,8.74,48.64,208.54
42.36,35.38,16.64,63.02,353.29
13.17,39.02,13.6,50.37,252.02
20.6,26.17,17.39,50.62,253.49
59.26,6.37,7.74,48.71,277.5
24,29.06,15.84,31.38,224.06
88.4,48.01,7.72,33.01,396.24
81.74,49.36,17.35,68.74,483.65
18.21,5.15,14.32,34.29,169.58
74.12,31.14,5.08,46.11,353.09
98.63,16.47,4.82,43.06,377.65
11.88,8.22,17.71,66.62,236.59
55.96,48.25,7.98,33.6,323.42
80.08,48.88,13.49,52.38,431.85
77.59,19.75,12.82,51.29,375.64
18.8,48.12,14.66,35.29,255.92
